,antecedent,consequent,support,confidence,lift
136,"frozenset({'USO_Up', 'GLD_Up'})",frozenset({'SPX_Same'}),0.2961992136304063,1.0,2.0566037735849054
137,"frozenset({'GLD_Up', 'SPX_Same'})",frozenset({'USO_Up'}),0.2961992136304063,1.0,2.6130136986301373
138,frozenset({'USO_Up'}),"frozenset({'GLD_Up', 'SLV_Up', 'SPX_Same'})",0.3735255570117955,0.976027397260274,2.6130136986301373
139,frozenset({'GLD_Up'}),"frozenset({'USO_Up', 'SLV_Up', 'SPX_Same'})",0.3735255570117955,1.2610619469026547,3.3761061946902653
140,frozenset({'SLV_Up'}),"frozenset({'USO_Up', 'GLD_Up', 'SPX_Same'})",0.3735255570117955,1.0,3.3761061946902653
141,frozenset({'SPX_Same'}),"frozenset({'USO_Up', 'GLD_Up', 'SLV_Up'})",0.3735255570117955,0.7681940700808625,2.056603773584906
142,"frozenset({'USO_Up', 'GLD_Up'})","frozenset({'SLV_Up', 'SPX_Same'})",0.3735255570117955,1.2610619469026547,3.3761061946902653
143,"frozenset({'USO_Up', 'SLV_Up'})","frozenset({'GLD_Up', 'SPX_Same'})",0.3735255570117955,1.0,3.3761061946902653
144,"frozenset({'USO_Up', 'SPX_Same'})","frozenset({'GLD_Up', 'SLV_Up'})",0.3735255570117955,0.7681940700808625,2.056603773584906
145,"frozenset({'GLD_Up', 'SLV_Up'})","frozenset({'USO_Up', 'SPX_Same'})",0.3735255570117955,1.0,2.0566037735849054
146,"frozenset({'GLD_Up', 'SPX_Same'})","frozenset({'USO_Up', 'SLV_Up'})",0.3735255570117955,1.2610619469026547,3.3761061946902653
147,"frozenset({'SLV_Up', 'SPX_Same'})","frozenset({'USO_Up', 'GLD_Up'})",0.3735255570117955,1.0,3.3761061946902653
148,"frozenset({'USO_Up', 'GLD_Up', 'SLV_Up'})",frozenset({'SPX_Same'}),0.3735255570117955,1.0,2.0566037735849054
149,"frozenset({'USO_Up', 'GLD_Up', 'SPX_Same'})",frozenset({'SLV_Up'}),0.3735255570117955,1.2610619469026547,3.3761061946902653
150,"frozenset({'USO_Up', 'SLV_Up', 'SPX_Same'})",frozenset({'GLD_Up'}),0.3735255570117955,1.0,3.3761061946902653
151,"frozenset({'GLD_Up', 'SLV_Up', 'SPX_Same'})",frozenset({'USO_Up'}),0.3735255570117955,1.0,2.6130136986301373
152,frozenset({'USO_Up'}),"frozenset({'SLV_Up', 'SPX_Same'})",0.3735255570117955,0.976027397260274,2.6130136986301373
153,frozenset({'SLV_Up'}),"frozenset({'USO_Up', 'SPX_Same'})",0.3735255570117955,1.0,2.0566037735849054
154,frozenset({'SPX_Same'}),"frozenset({'USO_Up', 'SLV_Up'})",0.3735255570117955,0.7681940700808625,2.056603773584906
155,"frozenset({'USO_Up', 'SLV_Up'})",frozenset({'SPX_Same'}),0.3735255570117955,1.0,2.0566037735849054
156,"frozenset({'USO_Up', 'SPX_Same'})",frozenset({'SLV_Up'}),0.3735255570117955,0.7681940700808625,2.056603773584906
157,"frozenset({'SLV_Up', 'SPX_Same'})",frozenset({'USO_Up'}),0.3735255570117955,1.0,2.6130136986301373
158,frozenset({'USO_Up'}),frozenset({'GLD_Up'}),0.2961992136304063,0.7739726027397261,2.6130136986301373
159,frozenset({'GLD_Up'}),frozenset({'USO_Up'}),0.2961992136304063,1.0,2.6130136986301373
